3 Pizzas Achetées = La 4ème Offerte !,"240,00 MAD"
Menu Duo Pasta Carbonara & Poulet Champignon avec Boissons au choix !,"171,00 MAD"
Pizza Chicken,"85,00 MAD"
Pizza Fruits de Mer,"100,00 MAD"
Pizza Bolognaises,"90,00 MAD"
3 Pizzas Achetées = La 4ème Offerte !,"240,00 MAD"
Menu Duo Pasta Carbonara & Poulet Champignon avec Boissons au choix !,"171,00 MAD"
Pizza Estrella,"110,00 MAD"
Pizza Quatre Saisons,"110,00 MAD"
Pizza Fruits de Mer,"100,00 MAD"
Pizza Saumon,"100,00 MAD"
Pizza Orientale,"90,00 MAD"
Pizza Pepperoni,"90,00 MAD"
Pizza Chèvre Miel,"90,00 MAD"
Pizza charcuterie,"90,00 MAD"
Pizza Altona,"90,00 MAD"
Pizza Calzone Poulet,"90,00 MAD"
Pizza Bolognaises,"90,00 MAD"
Orientale,"90,00 MAD"
Pizza Norvégienne,"90,00 MAD"
Pizza Chicken,"85,00 MAD"
Pizza Fermière,"85,00 MAD"
Pizza 4 Fromages,"85,00 MAD"
Pizza Végétarienne,"75,00 MAD"
Pizza Hawaïenne,"75,00 MAD"
Pizza Margarita,"65,00 MAD"
Sandwich fruit de mer,"75,00 MAD"
Sandwich cordon steack,"60,00 MAD"
Sandwich poulet,"58,00 MAD"
Sandwich mixte,"58,00 MAD"
Sandwich américain steak,"58,00 MAD"
Sandwich thon,"51,00 MAD"
Double Burger,"75,00 MAD"
Avocat Burger,"58,00 MAD"
Egg Burger,"55,00 MAD"
Cheese Burger,"50,00 MAD"
Cordon Bleu Burger,"50,00 MAD"
Chicken Burger,"50,00 MAD"
Fish Burger,"50,00 MAD"
Tacos 3 Viandes et 2 Galettes,"90,00 MAD"
Tacos 2 Viandes,"75,00 MAD"
Tacos Viande,"60,00 MAD"
Pasta Saumon Fondue D'Épinards,"90,00 MAD"
Pasta Fruits de Mer,"90,00 MAD"
Pasta Bolognaise,"77,00 MAD"
Pasta Tuna,"75,00 MAD"
Pasta Carbonara,"75,00 MAD"
Pasta Poulet Crème Champignon,"75,00 MAD"
Pasta Printemps,"65,00 MAD"
Pasta Al Pesto,"60,00 MAD"
Lasagne Fruits de Mer,"90,00 MAD"
Gratin Fruits de Mer,"90,00 MAD"
Lasagne Bolognaise,"77,00 MAD"
Gratin Poulet,"77,00 MAD"
Émincé de Bœuf,"96,00 MAD"
Escalope de Poulet Milanaise,"90,00 MAD"
Tajine Crevette Pil Pil,"90,00 MAD"
Émincé de Poulet,"85,00 MAD"
Assortiment 52 Pièces,"400,00 MAD"
Assortiment 34 Pièces,"235,00 MAD"
Assortiment 22 Pièces,"200,00 MAD"
Crêpe Estrella,"75,00 MAD"
Crêpe Magic,"65,00 MAD"
Crêpe Brasilia,"60,00 MAD"
Crêpe Tropicale,"60,00 MAD"
Crêpe nutella,"40,00 MAD"
Crêpe Nutella Banane,"40,00 MAD"
Gaufre Tropical,"64,00 MAD"
Gaufre Summer Berry,"64,00 MAD"
Gaufre Marshmallow,"61,00 MAD"
Gaufre Magic,"61,00 MAD"
Gaufre Coconut Oreo,"61,00 MAD"
Gaufre Estrella,"58,00 MAD"
Gaufre Nutella Banane,"38,00 MAD"
Gaufre Sauce,"36,00 MAD"
Gaufre au beurre sucrée,"32,00 MAD"
Pancake Berry,"61,00 MAD"
Pancake Pina Colada,"61,00 MAD"
Pancake Marshmallow,"58,00 MAD"
Pancake Tropical,"54,00 MAD"
Pancake Magic,"49,00 MAD"
Pancake Nutella Banane,"38,00 MAD"
Pancake Sauce,"36,00 MAD"
Pancake au Beurre Sucrée,"28,00 MAD"
Crêpe Mixte,"60,00 MAD"
Crêpe Dinde Fumée,"54,00 MAD"
Crêpe Charcuterie,"50,00 MAD"
Crêpe Viande hachée,"49,00 MAD"
Crêpe Poulet,"49,00 MAD"
Crêpe Thon,"49,00 MAD"
Crêpe Fromage,"40,00 MAD"
Jus d'Avocat Fruits Secs,"50,00 MAD"
Jus D'Avocat,"40,00 MAD"
Jus de Fraise à l'Orange,"35,00 MAD"
Jus de Citron Gingembre,"32,00 MAD"
Jus d'Orange Carottes,"30,00 MAD"
Jus de Banane,"28,00 MAD"
Jus d'Orange,"26,00 MAD"
Boisson énergétique,"40,00 MAD"
Orangina,"23,00 MAD"
Eau Gazeuse 1L,"23,00 MAD"
Coca Cola,"20,00 MAD"
Coca Cola Zéro,"20,00 MAD"
Pom's,"20,00 MAD"
Sprite,"20,00 MAD"
Hawaï,"20,00 MAD"
Eau Minérale 1.5L,"16,00 MAD"
Eau Gazeuse 50cl,"15,00 MAD"
Eau Minérale 50cl,"9,00 MAD"
Eau Minérale 33cl,"5,00 MAD"
Salade Estrella,"110,00 MAD"
Salade Exotique,"75,00 MAD"
Salade Avocado,"75,00 MAD"
Salade César Poulet,"70,00 MAD"
Salade Niçoise,"70,00 MAD"
Fondant chocolat,"40,00 MAD"
Tiramisu,"35,00 MAD"
Panna Cotta,"35,00 MAD"
Nougat Glacé,"35,00 MAD"
